sample_id,gold_label,MiniMax-M2.7,GPT-OSS-120b,Qwen3.6-35B,gemini-2.5-flash,meta/llama-3.3-70b-instruct-maas,google/gemma-4-26b-a4b-it-maas,Apertus-8B
16809#0#s0,1,0,0,0,0,1,0,1
3825673#0#s0,1,1,1,1,1,1,1,1
3586597#0#s0,1,1,1,1,1,1,1,1
11310397#0#s0,1,1,1,1,1,1,1,1
8784621#0#s0,0,0,0,0,0,1,0,1
9943409#0#s2,1,0,0,0,1,0,0,1
831602#0#s3,1,0,0,1,0,1,1,0
5530101#0#s0,0,0,0,0,0,1,0,1
5721250#0#s2,1,0,0,0,0,0,0,0
8391708#0#s1,1,1,1,1,1,1,1,1
1619147#0#s1,1,1,1,1,1,1,1,0
11362156#0#s3,0,0,0,0,0,0,0,0
9352038#0#s4,0,0,0,0,0,0,0,1
3223301#0#s2,1,1,1,1,1,1,1,1
10552677#0#s0,1,1,0,0,1,1,1,1
8345615#0#s3,1,0,0,0,0,0,0,0
1515603#0#s0,1,0,0,0,0,0,0,1
7137275#0#s1,0,0,0,0,0,0,0,1
359585#0#s1,1,1,0,1,1,1,1,0
7730871#0#s1,1,1,1,1,1,1,1,0
5978863#0#s0,1,1,1,1,1,1,1,0
12061774#0#s0,1,1,1,1,1,1,1,1
8598097#0#s0,1,1,1,1,1,1,0,1
8863498#0#s0,0,0,0,0,1,1,0,1
5341248#0#s0,1,1,1,1,1,1,1,1
6345074#0#s2,1,1,1,1,1,1,1,0
11262972#0#s3,0,0,0,0,0,0,0,0
11517538#0#s1,0,0,0,0,0,0,0,1
1676428#0#s0,1,0,0,0,0,1,0,1
10833479#0#s0,0,1,1,1,1,1,1,0
603288#0#s1,0,0,0,0,0,0,0,1
8484116#0#s2,1,1,0,1,0,0,0,0
5293559#0#s0,1,0,0,0,0,0,0,1
111019#0#s0,1,0,0,0,1,0,0,0
1040819#0#s0,1,0,0,0,0,1,0,1
3056368#0#s0,1,0,0,0,1,1,0,1
9523194#0#s0,1,1,1,1,1,1,1,1
10570817#0#s0,1,1,1,1,1,1,1,1
11442190#0#s2,1,0,0,0,1,0,0,1
10717478#0#s0,1,1,1,1,1,1,1,1
9613305#0#s2,1,0,1,0,0,1,1,1
1621450#0#s3,1,0,0,0,0,0,0,1
1746446#0#s0,1,1,1,1,1,1,1,1
6269383#0#s0,1,1,1,1,1,1,1,0
3405613#0#s1,0,0,0,0,0,0,0,0
6985339#0#s3,0,0,0,0,0,0,0,0
8989743#0#s0,1,1,1,1,1,1,1,0
1244579#0#s0,1,1,1,1,1,1,1,1
3069229#0#s1,1,1,1,1,1,1,1,0
1718872#0#s0,1,1,1,1,1,1,1,1
9388231#0#s0,1,1,1,1,1,1,1,1
3140050#0#s6,0,0,0,0,0,0,0,0
8395912#0#s1,1,0,0,1,0,1,1,1
280416#0#s0,1,1,1,1,1,1,1,1
10830295#0#s1,1,0,0,0,0,0,0,0
9617132#0#s1,0,0,0,0,0,0,0,0
9037343#0#s0,1,1,1,1,1,1,1,0
4985655#0#s1,0,1,1,1,1,1,1,1
11738985#0#s0,1,1,1,1,1,1,1,1
10558106#0#s2,1,0,0,0,0,0,0,1
4093492#0#s1,1,0,1,0,0,0,0,1
5812204#0#s1,1,0,0,0,0,0,1,0
15429#0#s0,1,0,0,0,0,0,0,1
3872349#0#s1,1,1,1,1,1,1,1,1
6664031#0#s4,1,0,0,0,0,0,0,0
2665758#0#s1,1,0,0,0,0,1,0,1
7117289#0#s0,1,1,1,1,1,1,1,1
7018154#0#s0,1,1,1,1,1,1,1,1
10839578#0#s0,1,1,1,1,1,1,1,1
8889198#0#s1,0,0,0,0,0,0,0,0
2062046#0#s1,0,0,0,0,1,1,0,0
10997554#0#s0,1,1,0,1,1,1,1,1
6669635#0#s1,1,1,1,1,1,1,1,0
3025846#0#s0,0,0,0,0,0,0,0,1
282718#0#s0,0,0,0,0,0,0,0,1
7975753#0#s4,1,1,1,1,1,1,1,1
11987635#0#s0,1,0,0,0,0,1,0,1
11987635#0#s1,1,0,0,0,0,0,0,0
6099588#0#s0,1,0,1,0,0,1,0,1
11355021#0#s0,1,1,1,1,1,1,1,0
956150#0#s0,1,1,0,1,1,1,1,1
956150#0#s1,1,0,0,0,1,0,0,0
4398623#0#s0,0,0,0,0,0,0,0,0
6723434#0#s0,1,1,1,1,1,1,1,1
200297#0#s0,1,1,0,1,1,1,1,0
7915063#0#s0,1,1,1,1,1,1,1,1
305329#0#s0,1,1,1,1,1,1,1,0
4132558#0#s0,0,1,1,0,0,0,1,1
4132558#0#s1,1,1,1,1,1,1,1,1
4132558#0#s2,0,1,1,1,1,1,1,1
4132558#0#s3,0,0,0,0,0,1,0,1
7658067#0#s0,1,1,1,1,1,0,1,0
7658067#0#s1,1,1,1,1,1,1,1,0
7658067#0#s2,0,0,0,0,1,0,0,0
7658067#0#s3,1,0,0,0,0,0,1,1
7658067#0#s4,0,0,0,0,0,0,0,1
7658067#0#s5,1,1,0,1,1,1,1,0
157290#0#s0,1,1,1,0,1,1,0,1
157290#0#s1,0,0,0,0,0,0,0,1
8232704#0#s0,1,1,1,1,1,1,1,0
1146737#0#s0,1,0,0,0,0,1,1,0
1146737#0#s1,1,0,0,0,0,0,0,0
2831569#0#s0,1,1,1,1,1,1,1,1
9035067#0#s0,1,0,0,0,0,1,0,0
1897088#0#s0,0,0,0,0,0,0,0,0
1897088#0#s1,1,0,0,0,0,0,0,0
8538123#0#s0,1,1,1,1,1,1,1,1
8784761#0#s0,0,1,0,0,0,0,0,0
8784761#0#s1,0,0,0,0,0,0,0,0
11007591#0#s0,1,1,1,1,1,1,1,1
11007591#0#s1,1,1,1,1,1,1,0,0
6067756#0#s0,1,0,1,0,0,1,1,0
11485106#0#s0,1,1,1,1,1,1,1,1
2937591#0#s0,0,0,0,0,0,0,0,0
8138923#0#s0,0,0,0,0,0,1,0,0
4508726#0#s0,1,0,0,0,1,1,1,1
3955937#0#s0,0,1,0,0,1,1,0,1
3955937#0#s1,0,0,0,0,0,0,0,0
6152057#0#s0,1,0,0,1,0,0,1,1
165072#0#s0,1,0,0,1,0,1,1,0
165072#0#s1,1,0,1,0,0,1,0,0
165072#0#s2,0,0,0,0,0,0,0,0
165072#0#s3,1,1,1,1,1,0,0,0
165072#0#s4,1,1,1,0,0,1,1,0
165072#0#s5,0,0,0,0,0,0,0,0
165072#0#s6,1,1,1,0,1,1,1,0
9943409#0#s0,1,1,1,1,1,1,1,1
9943409#0#s1,1,1,0,0,1,1,1,1
831602#0#s0,1,0,0,1,1,1,1,0
831602#0#s1,1,0,0,0,0,1,0,1
831602#0#s2,1,0,0,0,0,0,0,0
5721250#0#s0,1,0,0,0,1,0,0,1
5721250#0#s1,1,0,0,0,0,0,0,1
8391708#0#s0,1,1,1,1,1,1,1,1
1619147#0#s0,1,1,1,1,1,1,1,1
11362156#0#s0,1,1,1,1,1,1,1,1
11362156#0#s1,0,0,0,0,0,1,0,1
11362156#0#s2,0,1,1,1,1,1,1,1
9352038#0#s0,1,0,0,0,0,1,0,1
9352038#0#s1,1,0,0,0,0,0,0,1
9352038#0#s2,1,1,0,0,1,0,0,1
9352038#0#s3,1,0,0,0,0,0,0,1
3223301#0#s0,1,1,1,1,1,1,1,0
3223301#0#s1,1,1,1,1,1,1,1,0
8345615#0#s0,1,1,1,1,1,1,1,1
8345615#0#s1,0,1,0,0,1,0,0,1
8345615#0#s2,1,1,1,1,1,1,1,1
7137275#0#s0,0,0,0,0,0,0,0,0
359585#0#s0,1,1,1,1,1,1,1,1
7730871#0#s0,1,0,0,0,1,1,0,0
6345074#0#s0,1,0,1,1,0,1,1,1
6345074#0#s1,1,0,0,0,1,1,1,1
11262972#0#s0,1,0,0,0,1,0,0,0
11262972#0#s1,0,0,0,0,0,0,0,0
11262972#0#s2,0,0,0,0,0,0,0,0
11517538#0#s0,0,0,0,0,0,0,0,1
603288#0#s0,0,0,0,0,0,0,0,1
8484116#0#s0,1,1,1,1,1,1,1,1
8484116#0#s1,1,0,1,1,1,1,1,1
11442190#0#s0,0,0,0,0,0,0,0,0
11442190#0#s1,0,0,0,0,0,0,0,1
9613305#0#s0,1,1,1,1,1,1,1,1
9613305#0#s1,1,0,1,0,0,1,1,1
1621450#0#s0,1,1,1,1,1,1,1,1
1621450#0#s1,1,0,0,1,0,1,1,1
1621450#0#s2,0,1,1,0,1,0,0,0
3405613#0#s0,1,0,0,0,1,1,1,1
6985339#0#s0,0,0,0,0,0,0,0,0
6985339#0#s1,0,0,0,0,0,0,0,0
6985339#0#s2,0,0,0,0,0,0,0,0
3069229#0#s0,1,1,1,1,1,1,1,0
3140050#0#s0,1,0,0,0,0,0,0,1
3140050#0#s1,0,0,0,0,0,1,0,1
3140050#0#s2,1,1,1,1,1,1,1,0
3140050#0#s3,0,0,0,0,0,0,0,1
3140050#0#s4,0,0,0,0,0,0,0,1
3140050#0#s5,0,0,0,0,0,0,0,0
8395912#0#s0,1,1,1,1,1,1,1,1
10830295#0#s0,1,1,1,1,1,1,1,1
9617132#0#s0,0,0,0,0,0,0,0,0
4985655#0#s0,1,1,1,1,1,1,1,1
10558106#0#s0,1,1,1,1,1,1,1,1
10558106#0#s1,1,1,1,1,1,1,1,1
4093492#0#s0,1,1,1,1,1,1,1,1
5812204#0#s0,1,0,0,0,0,1,0,1
3872349#0#s0,1,1,1,1,1,1,1,1
6664031#0#s0,0,0,1,0,0,0,0,1
6664031#0#s1,1,0,0,1,0,1,0,1
6664031#0#s2,1,0,0,0,0,1,0,1
6664031#0#s3,0,0,0,0,0,0,0,0
2665758#0#s0,1,0,0,0,1,1,0,1
8889198#0#s0,1,1,1,1,0,1,1,1
2062046#0#s0,1,0,0,0,1,1,0,0
6669635#0#s0,1,0,0,0,0,1,0,0
7975753#0#s0,1,1,1,1,1,1,1,1
7975753#0#s1,1,1,0,0,1,1,0,0
7975753#0#s2,1,1,0,0,1,1,0,1
7975753#0#s3,1,1,0,0,1,1,1,1
