sample_id,gold_label,MiniMax-M2.7,GPT-OSS-120b,Qwen3.6-35B,gemini-2.5-flash,meta/llama-3.3-70b-instruct-maas,google/gemma-4-26b-a4b-it-maas,Apertus-8B
70#s0,1,1,1,1,1,1,1,0
3858#s4,1,1,1,1,0,1,1,1
3889#s0,1,1,1,1,1,1,1,1
2323#s0,1,1,1,1,1,1,1,1
271#s1,1,0,1,1,1,1,1,0
2673#s0,1,1,1,1,1,1,1,1
1108#s0,1,1,0,1,1,1,0,1
1039#s2,0,0,0,0,0,1,0,0
2981#s0,1,1,1,1,1,1,1,1
467#s1,0,0,0,0,0,0,0,1
2101#s2,0,0,0,0,0,0,0,0
3656#s4,0,1,1,1,1,0,1,1
358#s0,1,1,1,1,1,1,1,1
1986#s1,1,1,0,0,0,0,0,0
99#s1,1,0,0,0,0,1,0,0
330#s0,1,1,1,1,1,1,1,1
3945#s0,1,1,1,1,1,1,1,1
4360#s2,0,0,0,0,0,0,0,0
2782#s0,0,0,0,0,0,0,0,1
3844#s1,1,1,1,1,1,1,1,1
1766#s0,1,1,1,1,1,1,1,1
881#s1,0,0,0,0,0,0,0,0
1405#s2,1,1,1,1,1,1,1,0
3714#s0,0,0,0,0,0,0,0,1
3029#s2,1,1,1,1,1,1,0,0
7#s1,1,0,0,0,0,0,0,0
2878#s1,1,0,0,1,1,0,1,0
216#s0,1,1,1,1,1,1,1,1
235#s10,0,0,0,0,0,0,0,0
4072#s0,1,1,1,1,1,1,1,1
325#s1,1,0,0,0,1,0,0,0
500#s3,1,0,0,1,0,1,1,0
1349#s0,1,1,1,1,1,1,1,1
385#s4,1,1,1,1,1,1,1,0
1063#s0,1,1,1,1,1,1,1,1
3168#s0,0,0,0,0,0,0,0,1
2223#s0,1,1,1,1,1,1,1,1
675#s0,1,1,1,1,1,1,1,1
3877#s0,1,1,1,1,1,1,1,1
394#s3,1,0,0,1,0,0,1,1
1859#s0,1,0,0,0,0,1,0,0
3234#s0,1,1,1,1,1,1,1,1
3234#s1,1,1,1,1,1,1,1,1
3932#s0,0,0,0,0,0,1,0,1
285#s0,1,0,0,1,1,1,0,0
285#s1,1,0,0,0,0,0,0,1
2261#s0,1,1,1,1,1,1,1,1
2261#s1,0,0,0,1,1,1,1,1
305#s0,0,0,0,0,0,0,0,0
2546#s0,0,0,0,0,0,0,0,1
4167#s0,0,0,0,0,0,1,0,1
1141#s0,1,1,0,1,1,1,1,1
449#s0,1,1,1,1,1,1,1,0
3858#s0,1,1,1,1,1,1,1,1
3858#s1,1,1,1,1,1,1,1,1
3858#s2,1,1,1,1,1,1,1,1
3858#s3,1,1,1,1,1,1,1,1
271#s0,1,1,1,1,1,1,1,1
1039#s0,1,1,0,0,0,1,0,0
1039#s1,0,0,1,0,0,0,1,0
467#s0,1,1,1,1,1,1,1,1
2101#s0,1,1,1,1,1,1,1,1
2101#s1,1,1,1,1,1,1,1,1
3656#s0,0,0,0,0,0,0,0,0
3656#s1,0,0,0,0,0,0,0,1
3656#s2,0,0,0,0,0,0,0,0
3656#s3,1,1,1,1,1,1,1,1
1986#s0,1,0,0,0,1,0,0,1
99#s0,1,1,1,1,1,0,0,0
503#s0,1,1,1,1,1,1,1,1
503#s1,1,1,1,1,1,1,1,1
503#s2,1,1,1,1,1,1,0,0
2867#s0,1,1,1,1,1,1,1,1
4360#s0,0,0,0,0,0,0,0,0
4360#s1,1,0,0,0,0,0,0,0
3906#s0,0,0,0,0,1,1,0,1
3844#s0,1,0,0,0,0,1,0,1
881#s0,1,1,0,1,0,1,1,1
1476#s0,1,1,1,1,1,1,1,1
1476#s1,1,1,1,1,1,1,1,1
1405#s0,1,0,0,1,1,1,0,0
1405#s1,1,0,0,0,0,0,1,0
3175#s0,1,1,1,1,1,1,1,1
3029#s0,1,1,1,1,1,1,1,1
3029#s1,1,1,1,1,1,1,1,1
7#s0,1,1,1,1,1,1,1,1
394#s0,1,1,1,1,1,1,1,1
394#s1,1,1,1,1,1,1,1,1
394#s2,1,1,1,1,1,0,0,1
2878#s0,1,0,0,1,1,0,1,0
1722#s0,1,1,1,1,1,1,1,1
235#s0,1,0,0,0,0,0,0,1
235#s1,0,0,0,0,0,0,0,0
235#s2,0,0,0,0,1,0,0,0
235#s3,0,0,0,0,0,0,0,0
235#s4,0,1,1,0,1,0,0,0
235#s5,0,0,0,0,0,0,0,0
235#s6,0,0,0,0,1,0,0,0
235#s7,0,0,0,0,0,0,0,0
235#s8,0,0,0,0,0,0,0,0
235#s9,0,0,1,0,1,0,0,0
325#s0,1,0,1,1,0,0,1,0
2988#s0,0,0,0,0,0,0,0,0
500#s0,1,1,1,1,1,1,1,0
500#s1,1,1,1,1,0,1,1,0
500#s2,1,1,0,1,1,0,1,0
318#s0,1,1,1,1,1,1,1,1
2123#s0,1,1,1,1,1,1,1,1
292#s0,1,1,1,1,1,1,1,1
292#s1,1,1,1,1,0,1,1,1
385#s0,1,1,1,1,1,1,1,0
385#s1,0,0,0,0,0,0,0,1
385#s2,1,1,1,1,1,0,1,1
385#s3,1,1,0,1,0,1,1,0
2449#s0,1,0,0,1,0,1,1,0
421#s0,1,1,1,1,1,1,1,1
